univ,titre,annee,nom,prenom,domaine,lang,type,nbPages,url,l2,Diff_12
UQAC,Représentations sociales des élèves du troisième cycle du primaire à l'égard de l'enseignement des mathématiques ,2004,De Freitas Oliveira,Lúcia Virgínia,Éducation / Pédagogie,pt,maîtrise,163,https://constellation.uqac.ca/719/,fr,Diff
UdeM,"Republicanism Recast : How the ""Veil Affairs"" Transformed French Republican Ideology and Public Discourse (2004-2014)",2017,Vuoristo,Kaisa,Science politique,en,doctorat,413,http://hdl.handle.net/1866/19601,en,
UdeM,Research and Industry Practices in Designing Clothes for Optimal Participation of Persons with a Physical Disability,2019,Esmail,Alida,Sciences de l'activité physique,en,maîtrise,178,http://hdl.handle.net/1866/23621,en,
Laval,Research of an optimal formulation for direct compression of a natural product (from wet granulation to direct compression),2014,Maltais,Mélissa,Pharmacie / Pharmacologie,en,maîtrise,113,https://corpus.ulaval.ca/jspui/handle/20.500.11794/26474?mode=full,en,
UdeM,Residence and Autonomy in Postcolonial Maharashtra,2013,Breton,Etienne,Sociologie,en,maîtrise,108,http://hdl.handle.net/1866/10242,en,
UdeM,Residential choice and sustainability : comparing people and place performances in sprawled city,2017,Lotfi,Simin,Aménagement et urbanisme,en,doctorat,184,http://hdl.handle.net/1866/19972,en,
UdeM,Resilience and the cultural landscape : the case of the Lower Ninth Ward after Hurricane Katrina,2015,Toueir,Nada,Aménagement et urbanisme,en,doctorat,287,http://hdl.handle.net/1866/15964,en,
UQAC,Résistance des communautés benthiques aux perturbations multiples ,2014,Joseph,Laetitia,Environnement,en,maîtrise,82,https://constellation.uqac.ca/2783/,fr,Diff
Concordia,Résistances et adhésions à la « nation » : Une analyse discursive de la tétralogie Le Sang des promesses de Wajdi Mouawad,2011,Déry-Obin,Tanya,Lettres et littérature,en,maîtrise,165,https://spectrum.library.concordia.ca/7047/,fr,Diff
UdeS,"Résorption osseuse, ostéoclastogénèse et adalimumab : Projet BROCA (de l'original anglais : ""Bone resorption, Osteoclastogenesis and Adalimumab"")",2012,Guay Bélanger,Sabrina,Génie électrique,fr,maîtrise,116,https://savoirs.usherbrooke.ca/handle/11143/6311,en,Diff
ÉTS,Resource allocation designs for 5G wireless backhaul networks,2018,Nguyen,Tri Minh,Génie,en,doctorat,285,https://espace.etsmtl.ca/id/eprint/2198/,en,
ÉTS,Resource allocation in future green wireless networks : applications and challenges,2019,Tran,Ha Vu,Génie,en,doctorat,270,https://espace.etsmtl.ca/id/eprint/2458/,en,
ÉTS,Resource management and interference mitigation for dense heterogeneous small-cell networks,2017,Hajir,Mouna,Génie,en,doctorat,184,https://espace.etsmtl.ca/id/eprint/1920/,en,
INRS,Resource management for enabling heterogeneous services and applications in wireless cellular systems.,2020,Nguyen,Ti Ti,Génie électrique,en,doctorat,240,http://espace.inrs.ca/id/eprint/10403/,en,
